Length	Assembly
23520	FlyBase_Contig
23498	FlyBase_Contig
23354	FlyBase_Contig
22940	FlyBase_Contig
22604	FlyBase_Contig
22453	FlyBase_Contig
21921	FlyBase_Contig
21883	FlyBase_Contig
21565	FlyBase_Contig
21177	FlyBase_Contig
21147	FlyBase_Contig
20994	FlyBase_Contig
20763	FlyBase_Contig
20518	FlyBase_Contig
19958	FlyBase_Contig
19760	FlyBase_Contig
19524	FlyBase_Contig
18211	FlyBase_Contig
17516	FlyBase_Contig
17459	FlyBase_Contig
17072	FlyBase_Contig
17019	FlyBase_Contig
16631	FlyBase_Contig
16404	FlyBase_Contig
16252	FlyBase_Contig
15789	FlyBase_Contig
15660	FlyBase_Contig
14961	FlyBase_Contig
14793	FlyBase_Contig
14597	FlyBase_Contig
14285	FlyBase_Contig
14246	FlyBase_Contig
14179	FlyBase_Contig
13759	FlyBase_Contig
13750	FlyBase_Contig
13664	FlyBase_Contig
13640	FlyBase_Contig
13575	FlyBase_Contig
13455	FlyBase_Contig
13416	FlyBase_Contig
13185	FlyBase_Contig
13164	FlyBase_Contig
13157	FlyBase_Contig
13151	FlyBase_Contig
13142	FlyBase_Contig
13096	FlyBase_Contig
13045	FlyBase_Contig
13037	FlyBase_Contig
12747	FlyBase_Contig
12598	FlyBase_Contig
12168	FlyBase_Contig
12157	FlyBase_Contig
12024	FlyBase_Contig
12018	FlyBase_Contig
11993	FlyBase_Contig
11983	FlyBase_Contig
11753	FlyBase_Contig
11680	FlyBase_Contig
11260	FlyBase_Contig
11021	FlyBase_Contig
10541	FlyBase_Contig
10538	FlyBase_Contig
10162	FlyBase_Contig
10091	FlyBase_Contig
9865	FlyBase_Contig
9841	FlyBase_Contig
9666	FlyBase_Contig
9584	FlyBase_Contig
9394	FlyBase_Contig
9368	FlyBase_Contig
9110	FlyBase_Contig
8398	FlyBase_Contig
8346	FlyBase_Contig
8296	FlyBase_Contig
8007	FlyBase_Contig
8002	FlyBase_Contig
7722	FlyBase_Contig
7569	FlyBase_Contig
7557	FlyBase_Contig
7467	FlyBase_Contig
7314	FlyBase_Contig
7123	FlyBase_Contig
6936	FlyBase_Contig
6900	FlyBase_Contig
6840	FlyBase_Contig
6761	FlyBase_Contig
6698	FlyBase_Contig
6546	FlyBase_Contig
6515	FlyBase_Contig
6488	FlyBase_Contig
6294	FlyBase_Contig
6292	FlyBase_Contig
6265	FlyBase_Contig
6237	FlyBase_Contig
6193	FlyBase_Contig
6076	FlyBase_Contig
6044	FlyBase_Contig
6041	FlyBase_Contig
6000	FlyBase_Contig
5968	FlyBase_Contig
5952	FlyBase_Contig
5940	FlyBase_Contig
5891	FlyBase_Contig
5857	FlyBase_Contig
5832	FlyBase_Contig
5831	FlyBase_Contig
5807	FlyBase_Contig
5802	FlyBase_Contig
5772	FlyBase_Contig
5748	FlyBase_Contig
5698	FlyBase_Contig
5687	FlyBase_Contig
5641	FlyBase_Contig
5555	FlyBase_Contig
5538	FlyBase_Contig
5530	FlyBase_Contig
5498	FlyBase_Contig
5496	FlyBase_Contig
5477	FlyBase_Contig
5465	FlyBase_Contig
5463	FlyBase_Contig
5387	FlyBase_Contig
5383	FlyBase_Contig
5375	FlyBase_Contig
5365	FlyBase_Contig
5324	FlyBase_Contig
5316	FlyBase_Contig
5232	FlyBase_Contig
5195	FlyBase_Contig
5108	FlyBase_Contig
5104	FlyBase_Contig
5100	FlyBase_Contig
5098	FlyBase_Contig
5071	FlyBase_Contig
5061	FlyBase_Contig
5057	FlyBase_Contig
5054	FlyBase_Contig
5026	FlyBase_Contig
5000	FlyBase_Contig
4996	FlyBase_Contig
4994	FlyBase_Contig
4986	FlyBase_Contig
4933	FlyBase_Contig
4931	FlyBase_Contig
4917	FlyBase_Contig
4903	FlyBase_Contig
4900	FlyBase_Contig
4879	FlyBase_Contig
4865	FlyBase_Contig
4820	FlyBase_Contig
4785	FlyBase_Contig
4705	FlyBase_Contig
4701	FlyBase_Contig
4688	FlyBase_Contig
4684	FlyBase_Contig
4655	FlyBase_Contig
4641	FlyBase_Contig
4620	FlyBase_Contig
4581	FlyBase_Contig
4573	FlyBase_Contig
4521	FlyBase_Contig
4515	FlyBase_Contig
4471	FlyBase_Contig
4465	FlyBase_Contig
4436	FlyBase_Contig
4431	FlyBase_Contig
4424	FlyBase_Contig
4406	FlyBase_Contig
4400	FlyBase_Contig
4398	FlyBase_Contig
4395	FlyBase_Contig
4381	FlyBase_Contig
4378	FlyBase_Contig
4377	FlyBase_Contig
4370	FlyBase_Contig
4370	FlyBase_Contig
4368	FlyBase_Contig
4336	FlyBase_Contig
4310	FlyBase_Contig
4310	FlyBase_Contig
4295	FlyBase_Contig
4293	FlyBase_Contig
4289	FlyBase_Contig
4280	FlyBase_Contig
4272	FlyBase_Contig
4267	FlyBase_Contig
4231	FlyBase_Contig
4225	FlyBase_Contig
4222	FlyBase_Contig
4203	FlyBase_Contig
4201	FlyBase_Contig
4197	FlyBase_Contig
4187	FlyBase_Contig
4186	FlyBase_Contig
4183	FlyBase_Contig
4182	FlyBase_Contig
4174	FlyBase_Contig
4163	FlyBase_Contig
4150	FlyBase_Contig
4135	FlyBase_Contig
4089	FlyBase_Contig
4085	FlyBase_Contig
4072	FlyBase_Contig
4071	FlyBase_Contig
4070	FlyBase_Contig
4069	FlyBase_Contig
4059	FlyBase_Contig
4039	FlyBase_Contig
4037	FlyBase_Contig
4030	FlyBase_Contig
4013	FlyBase_Contig
4012	FlyBase_Contig
4006	FlyBase_Contig
3991	FlyBase_Contig
3984	FlyBase_Contig
3970	FlyBase_Contig
3964	FlyBase_Contig
3960	FlyBase_Contig
3944	FlyBase_Contig
3942	FlyBase_Contig
3941	FlyBase_Contig
3936	FlyBase_Contig
3924	FlyBase_Contig
3921	FlyBase_Contig
3913	FlyBase_Contig
3906	FlyBase_Contig
3871	FlyBase_Contig
3864	FlyBase_Contig
3858	FlyBase_Contig
3830	FlyBase_Contig
3818	FlyBase_Contig
3806	FlyBase_Contig
3806	FlyBase_Contig
3781	FlyBase_Contig
3775	FlyBase_Contig
3755	FlyBase_Contig
3746	FlyBase_Contig
3745	FlyBase_Contig
3737	FlyBase_Contig
3730	FlyBase_Contig
3717	FlyBase_Contig
3716	FlyBase_Contig
3713	FlyBase_Contig
3708	FlyBase_Contig
3692	FlyBase_Contig
3680	FlyBase_Contig
3665	FlyBase_Contig
3660	FlyBase_Contig
3648	FlyBase_Contig
3646	FlyBase_Contig
3638	FlyBase_Contig
3638	FlyBase_Contig
3622	FlyBase_Contig
3622	FlyBase_Contig
3614	FlyBase_Contig
3604	FlyBase_Contig
3603	FlyBase_Contig
3603	FlyBase_Contig
3602	FlyBase_Contig
3593	FlyBase_Contig
3593	FlyBase_Contig
3587	FlyBase_Contig
3583	FlyBase_Contig
3582	FlyBase_Contig
3574	FlyBase_Contig
3557	FlyBase_Contig
3554	FlyBase_Contig
3553	FlyBase_Contig
3553	FlyBase_Contig
3542	FlyBase_Contig
3527	FlyBase_Contig
3527	FlyBase_Contig
3525	FlyBase_Contig
3523	FlyBase_Contig
3502	FlyBase_Contig
3498	FlyBase_Contig
3498	FlyBase_Contig
3493	FlyBase_Contig
3490	FlyBase_Contig
3488	FlyBase_Contig
3484	FlyBase_Contig
3478	FlyBase_Contig
3478	FlyBase_Contig
3477	FlyBase_Contig
3473	FlyBase_Contig
3466	FlyBase_Contig
3466	FlyBase_Contig
3463	FlyBase_Contig
3462	FlyBase_Contig
3457	FlyBase_Contig
3454	FlyBase_Contig
3434	FlyBase_Contig
3431	FlyBase_Contig
3402	FlyBase_Contig
3396	FlyBase_Contig
3389	FlyBase_Contig
3386	FlyBase_Contig
3378	FlyBase_Contig
3374	FlyBase_Contig
3374	FlyBase_Contig
3373	FlyBase_Contig
3373	FlyBase_Contig
3367	FlyBase_Contig
3365	FlyBase_Contig
3352	FlyBase_Contig
3348	FlyBase_Contig
3347	FlyBase_Contig
3341	FlyBase_Contig
3316	FlyBase_Contig
3313	FlyBase_Contig
3310	FlyBase_Contig
3308	FlyBase_Contig
3302	FlyBase_Contig
3300	FlyBase_Contig
3299	FlyBase_Contig
3292	FlyBase_Contig
3286	FlyBase_Contig
3284	FlyBase_Contig
3277	FlyBase_Contig
3275	FlyBase_Contig
3268	FlyBase_Contig
3266	FlyBase_Contig
3262	FlyBase_Contig
3259	FlyBase_Contig
3259	FlyBase_Contig
3256	FlyBase_Contig
3254	FlyBase_Contig
3251	FlyBase_Contig
3239	FlyBase_Contig
3234	FlyBase_Contig
3223	FlyBase_Contig
3218	FlyBase_Contig
3213	FlyBase_Contig
3213	FlyBase_Contig
3211	FlyBase_Contig
3209	FlyBase_Contig
3206	FlyBase_Contig
