Length	Assembly
12856	FlyBase_Scaffold
12848	FlyBase_Scaffold
12827	FlyBase_Scaffold
12714	FlyBase_Scaffold
12681	FlyBase_Scaffold
12654	FlyBase_Scaffold
12632	FlyBase_Scaffold
12632	FlyBase_Scaffold
12536	FlyBase_Scaffold
12513	FlyBase_Scaffold
12459	FlyBase_Scaffold
12424	FlyBase_Scaffold
12424	FlyBase_Scaffold
12399	FlyBase_Scaffold
12368	FlyBase_Scaffold
12354	FlyBase_Scaffold
12187	FlyBase_Scaffold
12148	FlyBase_Scaffold
12142	FlyBase_Scaffold
12095	FlyBase_Scaffold
12034	FlyBase_Scaffold
12027	FlyBase_Scaffold
12002	FlyBase_Scaffold
12001	FlyBase_Scaffold
11985	FlyBase_Scaffold
11983	FlyBase_Scaffold
11958	FlyBase_Scaffold
11951	FlyBase_Scaffold
11807	FlyBase_Scaffold
11763	FlyBase_Scaffold
11743	FlyBase_Scaffold
11569	FlyBase_Scaffold
11522	FlyBase_Scaffold
11498	FlyBase_Scaffold
11430	FlyBase_Scaffold
11220	FlyBase_Scaffold
11148	FlyBase_Scaffold
11126	FlyBase_Scaffold
10091	FlyBase_Scaffold
9865	FlyBase_Scaffold
9368	FlyBase_Scaffold
9341	FlyBase_Scaffold
8346	FlyBase_Scaffold
8007	FlyBase_Scaffold
7722	FlyBase_Scaffold
7314	FlyBase_Scaffold
7123	FlyBase_Scaffold
7003	FlyBase_Scaffold
6936	FlyBase_Scaffold
6900	FlyBase_Scaffold
6860	FlyBase_Scaffold
6860	FlyBase_Scaffold
6825	FlyBase_Scaffold
6698	FlyBase_Scaffold
6546	FlyBase_Scaffold
6396	FlyBase_Scaffold
6294	FlyBase_Scaffold
6237	FlyBase_Scaffold
6193	FlyBase_Scaffold
6076	FlyBase_Scaffold
6062	FlyBase_Scaffold
6041	FlyBase_Scaffold
6000	FlyBase_Scaffold
5984	FlyBase_Scaffold
5968	FlyBase_Scaffold
5952	FlyBase_Scaffold
5915	FlyBase_Scaffold
5891	FlyBase_Scaffold
5832	FlyBase_Scaffold
5772	FlyBase_Scaffold
5698	FlyBase_Scaffold
5564	FlyBase_Scaffold
