genome,MAG_ID,cluster,score
3300018018_16.fna,3300018018_16,69_0,58.68719803
3300037076_10.fna,3300037076_10,70_0,43.08361880393533
3300045051_136.fna,3300045051_136,71_1,75.98447869145521
3300054680_98.fna,3300054680_98,72_1,79.11514337048663
3300044712_264.fna,3300044712_264,73_1,66.59413969939229
3300044712_140.fna,3300044712_140,74_0,88.10096436652961
3300078539_49.fna,3300078539_49,75_0,90.76076430944799
3300072656_30.fna,3300072656_30,76_1,97.53508101336267
3300082226_84.fna,3300082226_84,77_0,49.365344513879435
3300044802_18.fna,3300044802_18,78_0,57.702907057980646
3300081534_105.fna,3300081534_105,79_0,61.31378917475269
3300057049_150.fna,3300057049_150,80_0,49.92470388404818
3300036932_11.fna,3300036932_11,81_1,58.556024697948345
3300063015_50.fna,3300063015_50,82_0,67.04205803641338
3300077581_9.fna,3300077581_9,83_0,85.12628687
3300017972_12.fna,3300017972_12,84_0,51.641202470428055
3300051196_26.fna,3300051196_26,85_0,85.76662985406419
3300039309_14.fna,3300039309_14,86_1,96.66314176297419
3300036914_5.fna,3300036914_5,87_1,91.25275457133134
3300052918_40.fna,3300052918_40,87_2,99.41446727
3300033755_18.fna,3300033755_18,87_3,90.85480783111137
3300017975_12.fna,3300017975_12,88_0,71.96654476492594
3300018062_12.fna,3300018062_12,89_0,81.35254691698272
3300063172_279.fna,3300063172_279,90_1,93.29182558251873
3300063172_299.fna,3300063172_299,91_1,89.95037256284323
3300038426_14.fna,3300038426_14,92_0,94.91809511259854
3300056899_84.fna,3300056899_84,93_1,87.46375625187284
3300017961_13.fna,3300017961_13,94_0,84.35268105132667
3300057045_1.fna,3300057045_1,95_1,67.18252897490756
3300031240_22.fna,3300031240_22,96_1,61.14658185
3300045051_95.fna,3300045051_95,97_0,78.52202885304197
3300031753_7.fna,3300031753_7,98_0,82.55669179831158
3300080032_157.fna,3300080032_157,99_0,78.22136178300262
3300082211_96.fna,3300082211_96,100_0,75.99944066967478
3300082281_165.fna,3300082281_165,101_0,73.43543539924937
3300033982_16.fna,3300033982_16,102_1,95.75491788878851
3300017941_22.fna,3300017941_22,103_1,87.98781280431592
