"PC","var_explained","var_explained_pct","cum_var_pct","version"
1,0.300083772793417,30.0083772793417,30.0083772793417,"raw"
2,0.0830014118852545,8.30014118852545,38.3085184678671,"raw"
3,0.0652117644284645,6.52117644284646,44.8296949107136,"raw"
4,0.0488285181980831,4.88285181980831,49.7125467305219,"raw"
5,0.0360658706481473,3.60658706481473,53.3191337953366,"raw"
6,0.02817721807395,2.817721807395,56.1368556027316,"raw"
7,0.024596669788373,2.4596669788373,58.5965225815689,"raw"
8,0.021265643400676,2.1265643400676,60.7230869216365,"raw"
9,0.0209202299824034,2.09202299824034,62.8151099198769,"raw"
10,0.0204792911564228,2.04792911564228,64.8630390355192,"raw"
11,0.0165847277069215,1.65847277069215,66.5215118062113,"raw"
12,0.0155470707807682,1.55470707807682,68.0762188842881,"raw"
13,0.0148146635108018,1.48146635108018,69.5576852353683,"raw"
14,0.014176535543902,1.4176535543902,70.9753387897585,"raw"
15,0.0128903828579024,1.28903828579024,72.2643770755488,"raw"
16,0.0126040938847299,1.26040938847299,73.5247864640218,"raw"
17,0.012105152339451,1.2105152339451,74.7353016979668,"raw"
18,0.0118229143639662,1.18229143639662,75.9175931343635,"raw"
19,0.0113172878120245,1.13172878120245,77.0493219155659,"raw"
20,0.0107676651982235,1.07676651982235,78.1260884353883,"raw"
21,0.0101674143687455,1.01674143687455,79.1428298722628,"raw"
22,0.00942084403426182,0.942084403426181,80.084914275689,"raw"
23,0.00911758041072988,0.911758041072988,80.996672316762,"raw"
24,0.00875177574844803,0.875177574844803,81.8718498916068,"raw"
25,0.00787181393271497,0.787181393271497,82.6590312848783,"raw"
26,0.0077656296589845,0.77656296589845,83.4355942507767,"raw"
27,0.00742487609024802,0.742487609024802,84.1780818598016,"raw"
28,0.00710876391661252,0.710876391661252,84.8889582514628,"raw"
29,0.00702954596515424,0.702954596515424,85.5919128479782,"raw"
30,0.00666539822291315,0.666539822291315,86.2584526702695,"raw"
31,0.00643056024396083,0.643056024396083,86.9015086946656,"raw"
32,0.00637989165372758,0.637989165372758,87.5394978600384,"raw"
33,0.00620804667706204,0.620804667706204,88.1603025277446,"raw"
34,0.0057945608697065,0.57945608697065,88.7397586147152,"raw"
35,0.00571351958693749,0.571351958693749,89.311110573409,"raw"
36,0.00544170351990364,0.544170351990364,89.8552809253994,"raw"
37,0.00539238537332907,0.539238537332907,90.3945194627322,"raw"
38,0.0052420403693268,0.52420403693268,90.9187234996649,"raw"
39,0.00507045528570259,0.507045528570259,91.4257690282352,"raw"
40,0.00495431101245574,0.495431101245574,91.9212001294808,"raw"
41,0.00481475645185137,0.481475645185137,92.4026757746659,"raw"
42,0.00448274367422448,0.448274367422448,92.8509501420884,"raw"
43,0.00436123977018239,0.436123977018239,93.2870741191066,"raw"
44,0.00421678370554059,0.421678370554059,93.7087524896607,"raw"
45,0.0039502505304123,0.39502505304123,94.1037775427019,"raw"
46,0.00381807318542136,0.381807318542136,94.485584861244,"raw"
47,0.00369349079698355,0.369349079698355,94.8549339409424,"raw"
48,0.00352813302324271,0.35281330232427,95.2077472432666,"raw"
49,0.00343787071466939,0.343787071466939,95.5515343147336,"raw"
50,0.00334121941936122,0.334121941936122,95.8856562566697,"raw"
51,0.0031569416475262,0.31569416475262,96.2013504214223,"raw"
52,0.00310260994176743,0.310260994176743,96.5116114155991,"raw"
53,0.00292417803808479,0.292417803808479,96.8040292194075,"raw"
54,0.002810585271557,0.2810585271557,97.0850877465632,"raw"
55,0.00276274604540723,0.276274604540723,97.361362351104,"raw"
56,0.00263262200477813,0.263262200477813,97.6246245515818,"raw"
57,0.00253140912935061,0.253140912935061,97.8777654645168,"raw"
58,0.00236427074016886,0.236427074016886,98.1141925385337,"raw"
59,0.00216146006533041,0.216146006533041,98.3303385450668,"raw"
60,0.00213560657159205,0.213560657159205,98.543899202226,"raw"
61,0.00205686855018278,0.205686855018278,98.7495860572443,"raw"
62,0.00193046049733396,0.193046049733396,98.9426321069776,"raw"
63,0.00188354765414609,0.188354765414609,99.1309868723923,"raw"
64,0.00169132079457867,0.169132079457867,99.3001189518501,"raw"
65,0.00159985123251526,0.159985123251526,99.4601040751017,"raw"
66,0.00151092066619212,0.151092066619212,99.6111961417209,"raw"
67,0.00136954899569106,0.136954899569106,99.74815104129,"raw"
68,0.00128146619954136,0.128146619954136,99.8762976612441,"raw"
69,0.000848319779952386,0.0848319779952386,99.9611296392393,"raw"
70,0.000388703607606705,0.0388703607606705,100,"raw"
71,5.91810891619878e-32,5.91810891619878e-30,100,"raw"
72,3.39038719227193e-33,3.39038719227193e-31,100,"raw"
73,2.0577354273628e-33,2.0577354273628e-31,100,"raw"
74,1.64146273194954e-33,1.64146273194954e-31,100,"raw"
75,1.64146273194954e-33,1.64146273194954e-31,100,"raw"
76,1.64146273194954e-33,1.64146273194954e-31,100,"raw"
