"PC","var_explained","var_explained_pct","cum_var_pct","version"
1,0.234895130576024,23.4895130576024,23.4895130576024,"residual"
2,0.0798174924446078,7.98174924446078,31.4712623020632,"residual"
3,0.0673043572073748,6.73043572073748,38.2016980228007,"residual"
4,0.0523008006494822,5.23008006494822,43.4317780877489,"residual"
5,0.0387812427045398,3.87812427045398,47.3099023582029,"residual"
6,0.0313749650666716,3.13749650666716,50.44739886487,"residual"
7,0.0261744449897859,2.61744449897859,53.0648433638486,"residual"
8,0.0244616347377094,2.44616347377094,55.5110068376195,"residual"
9,0.0236970665162091,2.36970665162091,57.8807134892405,"residual"
10,0.0221179214580975,2.21179214580975,60.0925056350502,"residual"
11,0.0191299725669584,1.91299725669584,62.0055028917461,"residual"
12,0.0176949726196238,1.76949726196238,63.7750001537084,"residual"
13,0.0167540764199446,1.67540764199446,65.4504077957029,"residual"
14,0.015546551554471,1.5546551554471,67.00506295115,"residual"
15,0.0147938652094038,1.47938652094038,68.4844494720904,"residual"
16,0.0141473212298396,1.41473212298396,69.8991815950743,"residual"
17,0.0133844330596209,1.33844330596209,71.2376249010364,"residual"
18,0.0126714241603385,1.26714241603385,72.5047673170703,"residual"
19,0.0125709649926506,1.25709649926506,73.7618638163353,"residual"
20,0.0120228438103325,1.20228438103325,74.9641481973686,"residual"
21,0.0111786029723065,1.11786029723065,76.0820084945993,"residual"
22,0.0106551594866734,1.06551594866734,77.1475244432666,"residual"
23,0.00980465716581375,0.980465716581375,78.127990159848,"residual"
24,0.00955115514151863,0.955115514151863,79.0831056739998,"residual"
25,0.00895757457577276,0.895757457577276,79.9788631315771,"residual"
26,0.00882605071804483,0.882605071804483,80.8614682033816,"residual"
27,0.00843143440531731,0.843143440531731,81.7046116439133,"residual"
28,0.00827384049131251,0.827384049131251,82.5319956930446,"residual"
29,0.00799032288547298,0.799032288547298,83.3310279815919,"residual"
30,0.00770212573935704,0.770212573935704,84.1012405555276,"residual"
31,0.00733388798141783,0.733388798141783,84.8346293536693,"residual"
32,0.00708685864362572,0.708685864362572,85.5433152180319,"residual"
33,0.00693752332858691,0.693752332858691,86.2370675508906,"residual"
34,0.00682164453011643,0.682164453011643,86.9192320039023,"residual"
35,0.00656852787734318,0.656852787734318,87.5760847916366,"residual"
36,0.00636572824605661,0.636572824605661,88.2126576162422,"residual"
37,0.00613614826108501,0.613614826108501,88.8262724423507,"residual"
38,0.0059219862821321,0.59219862821321,89.4184710705639,"residual"
39,0.00574483577779712,0.574483577779712,89.9929546483437,"residual"
40,0.0057082006771661,0.57082006771661,90.5637747160603,"residual"
41,0.00536498914375397,0.536498914375397,91.1002736304357,"residual"
42,0.00524576481032466,0.524576481032466,91.6248501114681,"residual"
43,0.00504804427149573,0.504804427149573,92.1296545386177,"residual"
44,0.0049673430456316,0.49673430456316,92.6263888431809,"residual"
45,0.00447949730151802,0.447949730151802,93.0743385733327,"residual"
46,0.00442550240009896,0.442550240009896,93.5168888133426,"residual"
47,0.00426610705371048,0.426610705371048,93.9434995187136,"residual"
48,0.00417990077801574,0.417990077801574,94.3614895965152,"residual"
49,0.00383998550923016,0.383998550923016,94.7454881474382,"residual"
50,0.00370455731239929,0.370455731239929,95.1159438786781,"residual"
51,0.00360575932046183,0.360575932046183,95.4765198107243,"residual"
52,0.00350325768712468,0.350325768712468,95.8268455794368,"residual"
53,0.00331527407142501,0.331527407142501,96.1583729865793,"residual"
54,0.0032602796863745,0.32602796863745,96.4844009552167,"residual"
55,0.00314201261742497,0.314201261742497,96.7986022169592,"residual"
56,0.00305411550127983,0.305411550127983,97.1040137670872,"residual"
57,0.00296826670142919,0.296826670142919,97.4008404372301,"residual"
58,0.00283182235019861,0.283182235019861,97.68402267225,"residual"
59,0.00282546560326611,0.282546560326611,97.9665692325766,"residual"
60,0.00255893913853301,0.255893913853301,98.2224631464299,"residual"
61,0.00246282517093666,0.246282517093666,98.4687456635236,"residual"
62,0.0024002876288678,0.24002876288678,98.7087744264103,"residual"
63,0.00224593959285276,0.224593959285276,98.9333683856956,"residual"
64,0.00217484428020143,0.217484428020143,99.1508528137158,"residual"
65,0.00202133603645606,0.202133603645606,99.3529864173614,"residual"
66,0.00176953931718184,0.176953931718184,99.5299403490796,"residual"
67,0.00170761928221929,0.170761928221929,99.7007022773015,"residual"
68,0.00164744038862467,0.164744038862467,99.865446316164,"residual"
69,0.000917736072501641,0.0917736072501641,99.9572199234141,"residual"
70,0.000427800765858885,0.0427800765858885,100,"residual"
71,4.63248963345525e-32,4.63248963345525e-30,100,"residual"
72,8.38440986118885e-33,8.38440986118885e-31,100,"residual"
73,1.25928799719059e-33,1.25928799719059e-31,100,"residual"
74,1.25928799719059e-33,1.25928799719059e-31,100,"residual"
75,1.25928799719059e-33,1.25928799719059e-31,100,"residual"
76,1.25928799719059e-33,1.25928799719059e-31,100,"residual"
