Length	Assembly
3076	<=100kb
3073	<=100kb
3073	<=100kb
3065	<=100kb
3059	<=100kb
3058	<=100kb
3046	<=100kb
3044	<=100kb
3043	<=100kb
3025	<=100kb
3024	<=100kb
3013	<=100kb
3010	<=100kb
3009	<=100kb
3002	<=100kb
2999	<=100kb
2999	<=100kb
2996	<=100kb
2991	<=100kb
2984	<=100kb
2982	<=100kb
2982	<=100kb
2971	<=100kb
2964	<=100kb
2957	<=100kb
2956	<=100kb
2945	<=100kb
2943	<=100kb
2937	<=100kb
2937	<=100kb
2928	<=100kb
2927	<=100kb
2926	<=100kb
2924	<=100kb
2922	<=100kb
2922	<=100kb
2919	<=100kb
2916	<=100kb
2914	<=100kb
2911	<=100kb
2910	<=100kb
2905	<=100kb
2904	<=100kb
2903	<=100kb
2899	<=100kb
2893	<=100kb
2889	<=100kb
2884	<=100kb
2882	<=100kb
2882	<=100kb
2882	<=100kb
2881	<=100kb
2877	<=100kb
2876	<=100kb
2871	<=100kb
2860	<=100kb
2860	<=100kb
2858	<=100kb
2855	<=100kb
2849	<=100kb
2848	<=100kb
2846	<=100kb
2844	<=100kb
2841	<=100kb
2836	<=100kb
2834	<=100kb
2833	<=100kb
2830	<=100kb
2829	<=100kb
2828	<=100kb
2825	<=100kb
2823	<=100kb
2822	<=100kb
2822	<=100kb
2820	<=100kb
2819	<=100kb
2815	<=100kb
2814	<=100kb
2811	<=100kb
2804	<=100kb
2799	<=100kb
2796	<=100kb
2795	<=100kb
2795	<=100kb
2794	<=100kb
2793	<=100kb
2793	<=100kb
2791	<=100kb
2790	<=100kb
2788	<=100kb
2787	<=100kb
2784	<=100kb
2783	<=100kb
2781	<=100kb
2765	<=100kb
2762	<=100kb
2751	<=100kb
2750	<=100kb
2745	<=100kb
2744	<=100kb
2736	<=100kb
2733	<=100kb
2728	<=100kb
2709	<=100kb
2708	<=100kb
2703	<=100kb
2698	<=100kb
2697	<=100kb
2694	<=100kb
2689	<=100kb
2688	<=100kb
2688	<=100kb
2686	<=100kb
2671	<=100kb
2670	<=100kb
2669	<=100kb
2668	<=100kb
2665	<=100kb
2664	<=100kb
2647	<=100kb
2644	<=100kb
2642	<=100kb
2641	<=100kb
2639	<=100kb
2637	<=100kb
2636	<=100kb
2635	<=100kb
2629	<=100kb
2628	<=100kb
2626	<=100kb
2618	<=100kb
2617	<=100kb
2612	<=100kb
2611	<=100kb
2605	<=100kb
2603	<=100kb
2603	<=100kb
2591	<=100kb
2588	<=100kb
2584	<=100kb
2583	<=100kb
2577	<=100kb
2577	<=100kb
2576	<=100kb
2575	<=100kb
2575	<=100kb
2575	<=100kb
2574	<=100kb
2570	<=100kb
2565	<=100kb
2561	<=100kb
2557	<=100kb
2556	<=100kb
2555	<=100kb
2549	<=100kb
2547	<=100kb
2541	<=100kb
2541	<=100kb
2536	<=100kb
2529	<=100kb
2529	<=100kb
2522	<=100kb
2521	<=100kb
2521	<=100kb
2520	<=100kb
2520	<=100kb
2517	<=100kb
2516	<=100kb
2511	<=100kb
2511	<=100kb
2510	<=100kb
2508	<=100kb
2505	<=100kb
2500	<=100kb
2491	<=100kb
2487	<=100kb
2479	<=100kb
2477	<=100kb
2476	<=100kb
2475	<=100kb
2473	<=100kb
2470	<=100kb
2464	<=100kb
2463	<=100kb
2462	<=100kb
2451	<=100kb
2447	<=100kb
2442	<=100kb
2439	<=100kb
2438	<=100kb
2438	<=100kb
2438	<=100kb
2435	<=100kb
2434	<=100kb
2432	<=100kb
2431	<=100kb
2429	<=100kb
2428	<=100kb
2425	<=100kb
2425	<=100kb
2421	<=100kb
2421	<=100kb
2420	<=100kb
2419	<=100kb
2417	<=100kb
2413	<=100kb
2412	<=100kb
2400	<=100kb
2394	<=100kb
2390	<=100kb
2390	<=100kb
2389	<=100kb
2385	<=100kb
2385	<=100kb
2385	<=100kb
2384	<=100kb
2383	<=100kb
2383	<=100kb
2382	<=100kb
2381	<=100kb
2381	<=100kb
2379	<=100kb
2379	<=100kb
2378	<=100kb
2375	<=100kb
2372	<=100kb
2369	<=100kb
2368	<=100kb
2366	<=100kb
2363	<=100kb
2357	<=100kb
2355	<=100kb
2354	<=100kb
2353	<=100kb
2352	<=100kb
2344	<=100kb
2342	<=100kb
2342	<=100kb
2335	<=100kb
2330	<=100kb
2328	<=100kb
2328	<=100kb
2326	<=100kb
2325	<=100kb
2322	<=100kb
2318	<=100kb
2317	<=100kb
2308	<=100kb
2307	<=100kb
2304	<=100kb
2303	<=100kb
2295	<=100kb
2293	<=100kb
2291	<=100kb
2289	<=100kb
2287	<=100kb
2286	<=100kb
2284	<=100kb
2283	<=100kb
2282	<=100kb
2273	<=100kb
2270	<=100kb
2269	<=100kb
2266	<=100kb
2259	<=100kb
2259	<=100kb
2253	<=100kb
2248	<=100kb
2247	<=100kb
2237	<=100kb
2234	<=100kb
2232	<=100kb
2232	<=100kb
2228	<=100kb
2227	<=100kb
2223	<=100kb
2221	<=100kb
2220	<=100kb
2217	<=100kb
2216	<=100kb
2210	<=100kb
2209	<=100kb
2207	<=100kb
2206	<=100kb
2205	<=100kb
2201	<=100kb
2200	<=100kb
2198	<=100kb
2198	<=100kb
2196	<=100kb
2192	<=100kb
2190	<=100kb
2189	<=100kb
2189	<=100kb
2187	<=100kb
2185	<=100kb
2177	<=100kb
2176	<=100kb
2173	<=100kb
2166	<=100kb
2161	<=100kb
2161	<=100kb
2157	<=100kb
2147	<=100kb
2139	<=100kb
2132	<=100kb
2129	<=100kb
2126	<=100kb
2124	<=100kb
2124	<=100kb
2119	<=100kb
2117	<=100kb
2114	<=100kb
2113	<=100kb
2113	<=100kb
2113	<=100kb
2112	<=100kb
2109	<=100kb
2108	<=100kb
2105	<=100kb
2105	<=100kb
2103	<=100kb
2102	<=100kb
2096	<=100kb
2096	<=100kb
2094	<=100kb
2094	<=100kb
2092	<=100kb
2090	<=100kb
2089	<=100kb
2088	<=100kb
2087	<=100kb
2087	<=100kb
2086	<=100kb
2084	<=100kb
2081	<=100kb
2079	<=100kb
2079	<=100kb
2078	<=100kb
2076	<=100kb
2068	<=100kb
2064	<=100kb
2063	<=100kb
2063	<=100kb
2062	<=100kb
2060	<=100kb
2060	<=100kb
2060	<=100kb
2059	<=100kb
2050	<=100kb
2046	<=100kb
2044	<=100kb
2043	<=100kb
2035	<=100kb
2033	<=100kb
2033	<=100kb
2030	<=100kb
2027	<=100kb
2021	<=100kb
2020	<=100kb
2017	<=100kb
2014	<=100kb
2010	<=100kb
2009	<=100kb
2008	<=100kb
2006	<=100kb
2006	<=100kb
2005	<=100kb
2005	<=100kb
1998	<=100kb
1998	<=100kb
1998	<=100kb
1995	<=100kb
1993	<=100kb
1990	<=100kb
1990	<=100kb
1988	<=100kb
1986	<=100kb
1986	<=100kb
1980	<=100kb
1978	<=100kb
1976	<=100kb
1976	<=100kb
1975	<=100kb
1974	<=100kb
1970	<=100kb
1966	<=100kb
1966	<=100kb
1966	<=100kb
1964	<=100kb
1963	<=100kb
1962	<=100kb
